Ranking,Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,,,,,,,,,,,,,,
140,Afghanistan,South Asia,"1,721","2,93,451",0.00,62.00,0.00,"0,22638","0,15383",,,,,,,,,,,,,,
86,Albania,Central and Eastern Europe,"53,042","6,71,748","0,57133",74.00,"0,79892","0,34403","0,8517",,,,,,,,,,,,,,
84,Argelia,Sub-Saharan Africa,"53,635","6,18,327","0,73652",72.00,"0,28611","0,22771","0,34775",,,,,,,,,,,,,,
48,Argentina,Latin America and Caribbean,"61,881","7,29,612","0,85449",73.00,"0,78851","0,21822","0,1399",,,,,,,,,,,,,,
81,Armenia,Commonwealth of Independent States,"54,549","67,441","0,71415",73.00,"0,75317","0,12831","0,3009",,,,,,,,,,,,,,
10,Australia,North America and ANZ,"7,569","8,66,266","0,90385",76.00,"0,87599","0,56188","0,56224",,,,,,,,,,,,,,
14,Austria,Western Europe,"69,047","8,80,752","0,82671",76.00,"0,81399","0,53362","0,52956",,,,,,,,,,,,,,
99,Azerbaijan,Commonwealth of Independent States,"48,934","6,69,424","0,54171",70.00,"0,77392","0,27835","0,34637",,,,,,,,,,,,,,
126,Bangladesh,South Asia,"38,859","5,23,988","0,15414",71.00,"0,89752","0,35025","0,29115",,,,,,,,,,,,,,
16,Belgium,Western Europe,"68,942","8,72,705","0,89106",76.00,"0,84413","0,42531","0,54042",,,,,,,,,,,,,,
113,Benin,Sub-Saharan Africa,"43,774","4,26,801","0,794",64.00,"0,65654","0,27961","0,43828",,,,,,,,,,,,,,
72,Bolivia,Latin America and Caribbean,"57,843","5,68,578","0,7296",70.00,"0,83335","0,24842","0,10575",,,,,,,,,,,,,,
64,Bosnia and Herzegovina,Central and Eastern Europe,"5,877","6,84,293","0,81541",73.00,"0,71889","0,6147","0,54324",,,,,,,,,,,,,,
134,,Sub-Saharan Africa,"33,834","6,74,926","0,59919",62.00,"0,65642","0,3599","0,14271",,,,,,,,,,,,,,
44,Brazil,Latin America and Caribbean,"6,272","6,67,841","0,78488",72.00,"0,7937","0,32444","0,24769",,,,,,,,,,,,,,
80,Bulgaria,Central and Eastern Europe,"54,627","7,61,209","0,9086",72.00,"0,71861","0,2078","0,1069",,,,,,,,,,,,,,
107,Burkina Faso,Sub-Saharan Africa,"4,548","3,53,115","0,42378",63.00,155939.00,"0,43211","0,31067",,,,,,,,,,,,,,
116,Cambodia,Southeast Asia,"43,407","4,72,308","0,63008",68.00,"0,42378","0,12354","0,43678",,,,,,,,,,,,,,
101,Cameroon,Sub-Saharan Africa,"48,744","4,40,662","0,52953",64.00,"0,60374","0,31514","0,10487",,,,,,,,,,,,,,
15,Canada,North America and ANZ,"68,996","8,59,474","0,90232",76.00,"0,84565","0,57434","0,64026",,,,,,,,,,,,,,
110,Chad,Sub-Saharan Africa,"44,713","2,81,849","0,49824",61.00,"0,47621","0,54504","0,19601",,,,,,,,,,,,,,
38,Chile,Latin America and Caribbean,"63,603","7,55,165","0,84687",76.00,"0,75386","0,29188","0,13124",,,,,,,,,,,,,,
60,China,East Asia,"59,727","6,99,292","0,76627",74.00,"0,81592","0,32887","0,2843",,,,,,,,,,,,,,
77,Colombia,Latin America and Caribbean,"56,951","6,71,288","0,76751",75.00,"0,74585","0,17864","0,10191",,,,,,,,,,,,,,  
129,Comoros,Sub-Saharan Africa,"35,663","4,18,371","0,2029",66.00,"0,19937","0,32054","0,27768",,,,,,,,,,,,,,
87,Congo (Brazzaville),Sub-Saharan Africa,"52,215","4,16,881","0,38471",64.00,"0,60549","0,3089","0,23939",,,,,,,,,,,,,,
136,Congo (Kinshasa),Sub-Saharan Africa,"32,954","2,49,318","0,41119",63.00,"0,54754","0,47074","0,12548",,,,,,,,,,,,,,
12,Costa Rica,Latin America and Caribbean,"69,554","7,29,097","0,84936",75.00,"0,9226","0,27072","0,21378",,,,,,,,,,,,,,
